group_name,group_value,method,total,valid,invalid_or_missing,binary_accuracy,balanced_accuracy,positive_accept,false_alarm,negative_reject,miss_rate,error_field_exact_norm,error_field_overlap_norm,invalid_rate
field_category,sequence,control_oracle_label,36,36,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
field_category,turn,control_oracle_label,18,18,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
field_category,altitude_constraint,control_v0_candidate_integrity,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,course_or_radial,control_v0_candidate_integrity,19,19,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,fix_ident,control_v0_candidate_integrity,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,hold_params,control_v0_candidate_integrity,54,54,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,path_terminator,control_v0_candidate_integrity,37,37,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,positive,control_v0_candidate_integrity,200,200,0,1.0,,1.0,0.0,,,,,0.0
field_category,sequence,control_v0_candidate_integrity,36,36,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,turn,control_v0_candidate_integrity,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,altitude_constraint,V1_OCR_text_chartdisplay_v2,18,18,0,0.05555555555555555,,,,0.05555555555555555,0.9444444444444444,0.0,0.0,0.0
field_category,course_or_radial,V1_OCR_text_chartdisplay_v2,19,19,0,0.3157894736842105,,,,0.3157894736842105,0.6842105263157895,0.0,0.21052631578947367,0.0
field_category,fix_ident,V1_OCR_text_chartdisplay_v2,18,18,0,1.0,,,,1.0,0.0,0.6111111111111112,0.9444444444444444,0.0
field_category,hold_params,V1_OCR_text_chartdisplay_v2,54,54,0,0.2037037037037037,,,,0.2037037037037037,0.7962962962962963,0.0,0.018518518518518517,0.0
field_category,path_terminator,V1_OCR_text_chartdisplay_v2,37,37,0,0.1891891891891892,,,,0.1891891891891892,0.8108108108108109,0.0,0.0,0.0
field_category,positive,V1_OCR_text_chartdisplay_v2,200,200,0,0.695,,0.695,0.305,,,,,0.0
field_category,sequence,V1_OCR_text_chartdisplay_v2,36,36,0,0.027777777777777776,,,,0.027777777777777776,0.9722222222222222,0.0,0.0,0.0
